97,JOD,2018-01-22 01:26:50,,Jordanian Dinar,0.709000000,2020-04-01 00:01:36,د.أ.‏,false
98,AED,2018-01-22 01:26:50,,United Arab Emirates Dirham,3.673200000,2020-04-01 00:01:36,د.إ.‏,false
99,HKD,2018-01-22 01:26:50,,Hong Kong Dollar,7.750305000,2020-07-01 05:23:34,$,false
100,RWF,2018-01-22 01:26:50,,Rwandan Franc,953.583029000,2020-07-01 05:23:34,FR,true
101,EUR,2018-01-22 01:26:50,,Euro,0.889789000,2020-07-01 05:23:34,€,false
102,LSL,2018-01-22 01:26:50,,Lesotho Loti,17.308169000,2020-07-01 05:23:34,LSL,false
103,DKK,2018-01-22 01:26:50,,Danish Krone,6.631132000,2020-07-01 05:23:34,kr,false
104,CAD,2018-01-22 01:26:50,,Canadian Dollar,1.356620000,2020-07-01 05:23:34,$,false
105,BGN,2018-01-22 01:26:50,,Bulgarian Lev,1.740300000,2020-07-01 05:23:34,лв.,false
106,MMK,2018-01-22 01:26:50,,Myanma Kyat,1368.185960000,2020-07-01 05:23:34,K,false
107,NOK,2018-01-22 01:26:50,,Norwegian Krone,9.591650000,2020-07-01 05:23:34,kr,false
108,MUR,2018-01-22 01:26:50,,Mauritian Rupee,40.147171000,2020-07-01 05:23:34,MURs,false
109,SYP,2018-01-22 01:26:50,,Syrian Pound,513.233715000,2020-07-01 05:23:34,ل.س.‏,false
110,ZWL,2018-01-22 01:26:50,,Zimbabwean Dollar (2009),322.000000000,2020-07-01 05:23:34,ZWL,false
111,GIP,2018-01-22 01:26:50,,Gibraltar Pound,0.807198000,2020-07-01 05:23:34,GIP,false
112,RON,2018-01-22 01:26:50,,Romanian Leu,4.303100000,2020-07-01 05:23:34,lei,false
113,LKR,2018-01-22 01:26:50,,Sri Lankan Rupee,185.832843000,2020-07-01 05:23:34,SL Re,false
114,NGN,2018-01-22 01:26:50,,Nigerian Naira,385.532431000,2020-07-01 05:23:34,₦,false
115,CRC,2018-01-22 01:26:50,,Costa Rican Colón,578.588926000,2020-07-01 05:23:34,₡,false
116,CZK,2018-01-22 01:26:50,,Czech Republic Koruna,23.729001000,2020-07-01 05:23:34,Kč,false
117,PKR,2018-01-22 01:26:50,,Pakistani Rupee,167.256078000,2020-07-01 05:23:34,₨,false
118,XCD,2018-01-22 01:26:50,,East Caribbean Dollar,2.702550000,2020-03-01 00:00:00,XCD,false
119,ANG,2018-01-22 01:26:50,,Netherlands Antillean Guilder,1.791320000,2020-07-01 05:23:34,ƒ,false
120,HTG,2018-01-22 01:26:50,,Haitian Gourde,109.191199000,2020-07-01 05:23:34,HTG,false
121,BHD,2018-01-22 01:26:50,,Bahraini Dinar,0.377036000,2020-07-01 05:23:34,د.ب.‏,false
122,KZT,2018-01-22 01:26:50,,Kazakhstani Tenge,405.119269000,2020-07-01 05:23:34,тңг.,false
123,SRD,2018-01-22 01:26:50,,Surinamese Dollar,7.458000000,2018-07-06 12:20:00,SRD,false
124,SZL,2018-01-22 01:26:50,,Swazi Lilangeni,17.310750000,2020-07-01 05:23:34,SZL,false
125,SAR,2018-01-22 01:26:50,,Saudi Riyal,3.750874000,2020-07-01 05:23:34,ر.س.‏,false
126,TTD,2018-01-22 01:26:50,,Trinidad and Tobago Dollar,6.735366000,2020-07-01 05:23:34,$,false
127,YER,2018-01-22 01:26:50,,Yemeni Rial,250.349961000,2020-06-01 00:00:00,ر.ي.‏,false
128,MVR,2018-01-22 01:26:50,,Maldivian Rufiyaa,15.410000000,2020-07-01 05:23:34,MVR,false
129,AFN,2018-01-22 01:26:50,,Afghan Afghani,77.231214000,2020-07-01 05:23:34,؋,false
130,INR,2018-01-22 01:26:50,,Indian Rupee,75.555050000,2020-07-01 05:23:34,₹,false
131,AWG,2018-01-22 01:26:50,,Aruban Florin,1.800000000,2019-12-01 05:00:00,AWG,false
132,KRW,2018-01-22 01:26:50,,South Korean Won,1198.720000000,2020-07-01 05:23:34,₩,true
133,NPR,2018-01-22 01:26:50,,Nepalese Rupee,120.680161000,2020-07-01 05:23:34,नेरू,false
134,JPY,2018-01-22 01:26:50,,Japanese Yen,107.828857140,2020-07-01 05:23:34,￥,true
135,MNT,2018-01-22 01:26:50,,Mongolian Tugrik,2825.265872000,2020-07-01 05:23:34,MNT,false
136,AOA,2018-01-22 01:26:50,,Angolan Kwanza,578.925000000,2020-07-01 05:23:34,AOA,false
137,PLN,2018-01-22 01:26:50,,Polish Zloty,3.951141000,2020-07-01 05:23:34,zł,false
138,GBP,2018-01-22 01:26:50,,British Pound Sterling,0.807198000,2020-07-01 05:23:34,£,false
139,SBD,2018-01-22 01:26:50,,Solomon Islands Dollar,8.349572000,2020-07-01 05:23:34,SBD,false
140,HUF,2018-01-22 01:26:50,,Hungarian Forint,315.341558000,2020-07-01 05:23:34,Ft,false
141,BIF,2018-01-22 01:26:50,,Burundian Franc,1920.373288000,2020-07-01 05:23:34,FBu,true
142,MWK,2018-01-22 01:26:50,,Malawian Kwacha,735.678444000,2020-07-01 05:23:34,MWK,false
143,MGA,2018-01-22 01:26:50,,Malagasy Ariary,3863.543886000,2020-07-01 05:23:34,MGA,true
